Product type,Product properties,Price,Store address
phone,color:silver,528.00,"Jaydon allén, Karlskrona"
subscription,gb_limit:50,62.00,"Juston gärdet, Malmö"
subscription,gb_limit:10,300.00,"Allene gränden, Karlskrona"
subscription,gb_limit:10,102.00,"Rachelle gärdet, Karlskrona"
subscription,gb_limit:50,497.00,"Johansson gatan, Karlskrona"
phone,color:silver,749.00,"Nilsson gärdet, Malmö"
subscription,gb_limit:10,643.00,"Ludwig gärdet, Malmö"
phone,color:rosa,263.00,"Ezekiel gränden, Karlskrona"
subscription,gb_limit:50,470.00,"Jasmin vägen, Stockholm"
subscription,gb_limit:50,971.00,"Noble gärdet, Malmö"
subscription,gb_limit:50,432.00,"Larsson allén, Karlskrona"
phone,color:guld,670.00,"Persson gränden, Karlskrona"
subscription,gb_limit:10,809.00,"Camille gärdet, Stockholm"
phone,color:brun,58.00,"Karlsson gatan, Stockholm"
phone,color:rosa,264.00,"Esther gärdet, Karlskrona"
phone,color:grå,87.00,"Johansson vägen, Stockholm"
subscription,gb_limit:10,208.00,"Persson allén, Malmö"
phone,color:guld,53.00,"Sheridan gränden, Karlskrona"
subscription,gb_limit:50,282.00,"Olsson gatan, Stockholm"
phone,color:grön,299.00,"Alberta gränden, Malmö"
subscription,gb_limit:10,34.00,"Andersson allén, Malmö"
phone,color:guld,546.00,"Zora gärdet, Stockholm"
phone,color:guld,49.00,"Patrick gatan, Stockholm"
subscription,gb_limit:10,250.00,"Edmund gärdet, Stockholm"
subscription,gb_limit:50,454.00,"Emmalee gränden, Malmö"
phone,color:guld,967.00,"Svensson allén, Malmö"
subscription,gb_limit:10,527.00,"Ardella gärdet, Karlskrona"
subscription,gb_limit:10,784.00,"Persson vägen, Karlskrona"
subscription,gb_limit:50,676.00,"Persson gärdet, Karlskrona"
phone,color:grön,415.00,"Hollis gränden, Stockholm"
phone,color:gul,172.00,"Winona gatan, Malmö"
phone,color:gul,224.00,"Johansson gatan, Malmö"
phone,color:silver,904.00,"Gustafsson gärdet, Malmö"
subscription,gb_limit:10,699.00,"Gustafsson vägen, Malmö"
phone,color:grön,81.00,"Larsson vägen, Stockholm"
phone,color:silver,250.00,"Grady gatan, Karlskrona"
phone,color:grön,148.00,"Olsson vägen, Malmö"
phone,color:svart,26.00,"Persson gatan, Stockholm"
subscription,gb_limit:50,837.00,"Tremaine vägen, Karlskrona"
subscription,gb_limit:10,214.00,"Nilsson vägen, Malmö"
phone,color:grå,288.00,"Persson vägen, Malmö"
subscription,gb_limit:50,227.00,"Cecil gränden, Malmö"
subscription,gb_limit:10,62.00,"Svensson allén, Stockholm"
subscription,gb_limit:10,951.00,"Nilsson gatan, Stockholm"
subscription,gb_limit:50,271.00,"Barney gränden, Malmö"
subscription,gb_limit:50,705.00,"Karlsson vägen, Stockholm"
subscription,gb_limit:10,953.00,"Loyal vägen, Stockholm"
subscription,gb_limit:50,130.00,"Karlsson gränden, Karlskrona"
phone,color:silver,474.00,"Caesar gatan, Stockholm"
subscription,gb_limit:50,592.00,"Donavon allén, Stockholm"
